sector_source,A01,A02,A03,B05,B06,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S,T
C19,0.0275845787278551,0.04071799716073259,0.08968255689239855,0.0573432357540777,0.042544841954323134,0.06980054320523696,0.07010739827153019,0.03942258543624932,0.009461166011624545,0.006897469329099312,0.017183213856619323,0.016531442704319266,0.13408039251733256,0.09567077336164694,0.00952728248504313,0.016378362574115353,0.033680864429932504,0.028013248465974017,0.010378095280082643,0.008930880850633644,0.0027863971874093397,0.010156144477672664,0.00599059977258656,0.007978492198060226,0.00612110022297262,0.005709922489586554,0.015151979186451123,0.06017921946227338,0.03747530447233449,0.021891731237716205,0.033209882668578425,0.2272833693411512,0.163120805097231,0.3007603577217427,0.04438871870476291,0.04061733356043352,0.012113935561592,0.006991858207611883,0.00845120293270279,0.007908084227363523,0.008093985381214355,0.006274591275228552,0.011987602994469358,0.0234701664008502,0.03696739187836918,0.02079295440222769,0.013712323274112254,0.015308562631202213,0.02618118445134475,0.0
C20,0.07542471892488685,0.00699089183680122,0.007476936082065034,0.03712023933120309,0.015515030116484047,0.04255828137499894,0.042647495591005745,0.013716586727261155,0.013420085185026546,0.06860956913753787,0.04672180385647944,0.0840832223031045,0.029314314312220903,0.4036892536226289,0.10703299154643403,0.3478362588455918,0.06503900891217057,0.011662137046347798,0.016697669261782327,0.023779618350100583,0.02587986274068672,0.03456543198902987,0.01662358231286989,0.020860619321912507,0.028677339081110354,0.011503713087389442,0.05712795905331147,0.004189792154046091,0.03557709241024755,0.018521674027511013,0.00940431924861412,0.005649741122135002,0.003638236826622577,0.005827331087473631,0.00676447736433867,0.0021688792281003167,0.008868310668339364,0.010628710792823489,0.0013793050326971759,0.0041734803511848636,0.0012505908831650504,0.007776077298697584,0.012862483438499337,0.014690935878574157,0.006793599116391232,0.012754312799440528,0.026790676162662147,0.007817504608027562,0.03688698556882047,0.0
C21,0.007721964536532032,0.0004421264226555339,0.0031850815672514617,0.003220843464809344,0.0014709612380038072,0.003906604532934191,0.0025952799006916404,0.0005700046039357531,0.002323797820180396,0.0014175533224796255,0.001431066461445348,0.0017582112575078865,0.0006933155772214006,0.011734977832941418,0.3511857378809621,0.005467460373190347,0.001014000718653807,0.0004534766949346228,0.0005000598581114715,0.0007542811284411885,0.0007261485078709711,0.0006097578093983622,0.0014355479519035754,0.0007849748568643629,0.0006393334314747839,0.0007424187516679072,0.004104887995794364,0.0005308628923945515,0.0042827556566512924,0.0007458016204980757,0.0016574982476840595,0.0009784649158371104,0.0012119858430061775,0.0008091831092098266,0.000853810710391481,0.0010093195069473485,0.0008128460035818853,0.0013937769058998246,0.0004829438325181748,0.0011355858004730608,0.00041679649998021097,0.0006141926159221254,0.010557971138336836,0.0017609281150643384,0.010529535572678578,0.004442836111632184,0.1433937109542411,0.0036088818441582676,0.005401408122846837,0.0
C22,0.007193906741903482,0.004719038322777274,0.006811214725795498,0.015712777770315305,0.00810501643942635,0.009356339760736123,0.009342757194261154,0.00394696870276448,0.021212885945612225,0.018023721158219447,0.01501862284855063,0.03169285311100291,0.001661601176814629,0.020347538546426125,0.025257353321362672,0.17759661253639428,0.015664741063835686,0.002187769826179424,0.004738450045161974,0.017914741538645827,0.020520882519701286,0.04266932322300673,0.02855392388587905,0.051954070234067666,0.013509925627028118,0.02681329738662118,0.046739501002923255,0.001189005066912303,0.01829562902085596,0.03217474907255608,0.019382464043152005,0.01919087790100435,0.002283399292538983,0.0016746858736283743,0.006428948563773494,0.0037457729483048883,0.004432163936113558,0.004120959209995732,0.0020815746785777384,0.002570401828857729,0.0016667998006917144,0.005894601188995264,0.005839139740781684,0.008788060118391646,0.0037361082231450603,0.005954538224777546,0.006378705713505662,0.005323307464645033,0.010032517755152744,0.0
C23,0.003002169113582079,0.001744113498596295,0.000934376720141495,0.004889678693045645,0.00541563017444915,0.0127518278531767,0.015567792586974992,0.0030862395352264675,0.005781598244472398,0.0015640674001572066,0.008257430481999478,0.0013247707325317196,0.0007450870850070519,0.005433947083068865,0.007545822174074872,0.010818419458956464,0.23426104283206864,0.010970291114273447,0.005340090476955521,0.007926369466715053,0.010489350987996393,0.012247892741166706,0.005748354674045917,0.009208941569026049,0.008466210876297946,0.0035887821719480704,0.01126925258948612,0.0015814486411758798,0.0066349290176482365,0.15539520972091425,0.0027283550358566306,0.0016134488017443952,0.0016653793627740983,0.0005469117681793946,0.0018295674795768032,0.0007122119134872715,0.003390525465177529,0.00041483629796916407,0.000804433440836755,0.0005512830272382358,0.00044909829211996487,0.015258416998603216,0.002915998119138297,0.0018840180481195785,0.002098707633642337,0.005184791651942731,0.00205623338576036,0.002286299955986384,0.004689270003619013,0.0
C24A,0.0010476187792589514,0.0010853213315790366,0.000696995185384497,0.01646515652987016,0.021625322268946364,0.014565449019459692,0.0034109932651208287,0.006143088800847996,0.0005993036058995899,0.0010139666204857646,0.003816547707268873,0.0014082741655537865,0.000979707200345723,0.0015548670870551393,0.0006573923585253952,0.009903040419268764,0.01730804306886815,0.38349996241025414,0.023154813260407105,0.28682763839801145,0.012303563328358802,0.055213514921292874,0.13864798446495005,0.06537667543693469,0.09509420624020289,0.07622275469343216,0.03451337713670878,0.0022643085670611203,0.026009509305892842,0.05651922157260616,0.0019665774671032503,0.0018169653766387328,0.0008805643695852135,0.000658098043427775,0.0023020888767590385,0.00026624811035299233,0.00021014505980448725,0.00012707391703219615,0.00017384944629415727,0.0001258374971164164,0.00011805160227382349,0.0019028185801740099,0.0023887825994604846,0.0007062851784210769,0.0008592112578239501,0.0009840241050405368,0.0002737151244107202,0.0008580123338868449,0.0020123562430284215,0.0
C24B,0.0007480086457275658,0.0007958090990547052,0.0004717496461859725,0.0017082805182592233,0.004367250471985531,0.005056244352664573,0.0015657891035138192,0.0008120696532764745,0.0016501287904677451,0.0011740971465186432,0.002783817161829944,0.0026630370986643307,0.0004584202511999336,0.008727603130831365,0.0022023959502726572,0.007058006258099082,0.006891827008547748,0.04642751847738699,0.43427708246411106,0.12074283947350244,0.030551941740949114,0.1228534443961966,0.05111762170803719,0.03157009971278835,0.01980083720472851,0.034292773798633464,0.04243551145542113,0.0010838025746413443,0.022204269167594236,0.01278217033500959,0.0017796720886595193,0.0006922651945064772,0.0003895676753141043,0.00011688689901681776,0.000630467190108511,9.637030357537751e-05,0.0005925084935612752,0.0003337659259859391,0.0001830230612461821,0.00012431391030542842,0.00016498879924481708,0.0010438226922773485,0.0008607863577019424,0.00035828399823890146,0.0006590947332021522,0.0003810508159381084,0.0007717884517929742,0.0006711539273653007,0.002170735303701704,0.0
C25,0.004115584813473774,0.005847822035305445,0.002469751422091551,0.029226618306318067,0.020384421152445598,0.01868978874413784,0.011090166049990809,0.016175307615880787,0.00978824633125546,0.0037043613302829657,0.021720789820047822,0.0053144053375552775,0.0017280086508167703,0.008199854430690035,0.004977699347072532,0.015093233382337678,0.014223305421948409,0.022043638394469225,0.012650634374756295,0.17045991852033676,0.0167880305415952,0.04343302809897937,0.10821559539803706,0.05374660041762498,0.08815490756809782,0.06227731837970157,0.0523541536806739,0.0036004533540389743,0.011455029617938591,0.07205705609733043,0.007643305616217887,0.0034039088259512147,0.0024009465363252656,0.0015576047242140333,0.004830836144922792,0.0011037222969543837,0.0038420201544281545,0.0014634992928825334,0.002627880452574176,0.0016513363372399755,0.0005573490595234605,0.008880041436638572,0.0063822263641517265,0.007531388718539987,0.013806830708714241,0.004657255588032587,0.0025527126350144073,0.0038146167233673507,0.009879356897079647,0.0
C26,0.0008550655438087773,0.0012701608981064074,0.001635600055370083,0.003740358514035232,0.00457819396507232,0.0037949759785829403,0.002777340763114517,0.0032911031834031482,0.0010568415351188962,0.001238123018827391,0.002535179220020877,0.0030540773216324703,0.0012456337222406474,0.004030771130377954,0.002835111179624204,0.0032517919627287374,0.0027377170056876884,0.0014541782804496953,0.002102391219060681,0.00770956128183924,0.521539907264458,0.09603574495145728,0.04227974258491651,0.019160198402149605,0.03652498639989252,0.018240281333856138,0.024315265970218092,0.004873640485594354,0.006088515169579887,0.009802549363825035,0.009964858329256634,0.002391519207891427,0.002981535665018388,0.00513882208188897,0.005008616704011434,0.005621845178175285,0.0026802000766360167,0.012531496170617686,0.06203878386070263,0.04612250375282879,0.003966789708439931,0.0021450213498297186,0.01570342424107772,0.009091276296906196,0.01101893621283524,0.013847905516817314,0.014761997120726851,0.008660229997251162,0.023562184422563557,0.0
C27,0.0010031055937473083,0.000951432743719103,0.0018377726208252652,0.00666975056531236,0.0023690192164599415,0.006921504122734798,0.006451541751831803,0.004334934908365088,0.0009974004646217723,0.0006686703881070356,0.0013706318983362923,0.002361480397381546,0.0004059694138414245,0.001756729907836085,0.0014395139470915442,0.0031555870381740105,0.0030734910334195412,0.002109866376920153,0.0032807229003544176,0.009530757107059312,0.042253953987318106,0.233442974136921,0.04452268302958106,0.03809515259169766,0.022327904746158297,0.023710940901625614,0.019760595570422344,0.01605028907698487,0.0058877333104100284,0.031851009673859926,0.0062082184947282616,0.004054377881252072,0.0027776085260216923,0.0017325901238176688,0.0029007889171856296,0.0014231184084475526,0.0019188210602754767,0.0025238923175715912,0.014933407615950085,0.005593863753385145,0.0006549950484561971,0.0023442983635215916,0.006967743343479289,0.005279161088500913,0.005589104588623613,0.003886198391973813,0.003063751038573282,0.005996158772523145,0.011174909573189135,0.0
C28,0.0030916930982186033,0.010772641417203297,0.0058191301293149195,0.07136670782741229,0.0302459633076977,0.03726072720249734,0.0275311919193194,0.024514759999243754,0.003348720816670898,0.0025756608285084468,0.006755340428495368,0.007497044113291377,0.003053311219312661,0.004842830187708501,0.0036724648310556577,0.007726987506545089,0.02000735502502825,0.008028915051559164,0.005418651011141961,0.0206905580536487,0.012025717379683562,0.03840892790595163,0.21955122832141985,0.033249489810228364,0.06394339786853004,0.030082859669600902,0.0388553739162199,0.00970112235118725,0.015508893326342763,0.023037786311548767,0.008231524831771125,0.005150819706922202,0.002326294097146495,0.0034849833899845656,0.005250194450362727,0.0026847371690429684,0.0014092662629089493,0.002285375370869218,0.003830931799410037,0.004113693612094243,0.0020022745134489236,0.0016095145951794906,0.006867566922004991,0.007861078120858967,0.0063621637115255075,0.00414379312849361,0.0050967987260915,0.004663301719749131,0.005725145866907612,0.0
C29,0.0007576858492547089,0.006744071618994145,0.0011356460099050838,0.0013781638888523478,0.002330162803866838,0.005026540084043769,0.003711414908327568,0.00221129314186307,0.0008532644260401669,0.0007282204570540187,0.0013542684332441186,0.0009959659214707373,0.0004102448892388918,0.0010824566400975317,0.001127863072581324,0.0025849538923404555,0.0033199239980313,0.001163799033164849,0.001821760479187838,0.0035888676174419066,0.002915749141380275,0.008091126752940318,0.011893273511571543,0.34480608357708187,0.0047712649567473505,0.01560691872825854,0.009140810805446495,0.0013906583430593165,0.004727623476015545,0.0032090786392885086,0.025286527962356534,0.027426155656746696,0.0031489338287696107,0.0039049281855707695,0.00581647227218757,0.002924042370031808,0.0006685736214522748,0.0009334283473590026,0.00157544189216693,0.0021299858897945692,0.0010289942299709603,0.0009987939205625181,0.0029273631779349763,0.006044840044921626,0.0025200612417983614,0.002196241613686989,0.0013827627526537421,0.0023046431206880614,0.0023052977960161714,0.0
C301,1.9067706734752022e-05,8.599249310197567e-05,0.007141687614275966,5.673096134364139e-05,0.0011165315161626068,0.00038963534569448383,0.00020046343998059672,3.5721619813195965e-05,3.508023751817698e-05,1.3411252252650838e-05,3.988226715100772e-05,2.494748499376831e-05,1.620442883077819e-05,3.72127192128721e-05,1.5176362843683542e-05,5.787120696342624e-05,3.924951284127291e-05,8.359210247197315e-05,4.463782316787654e-05,0.00039261179490942367,0.0001754665669305635,0.0001997583064998572,0.0007218229224367849,0.0005523337937922434,0.2862015825809463,0.022978553396968276,0.0025647201193858046,3.814492154130199e-05,7.853095162082878e-05,0.00013293597386082153,0.0001477260701908926,0.0008921767447357435,0.02143370957014442,0.006455203075833551,0.0016621271237326264,5.875146960163236e-05,2.7786739844323603e-05,1.3875011144300514e-05,2.5781188002129082e-05,1.4040830250085046e-05,2.1128430541534656e-05,4.5168704767258745e-05,5.936788954344582e-05,0.00015884215569569505,0.004037705435743247,8.435680025241733e-05,2.51940512694193e-05,0.00018433987782228185,0.000443049155215392,0.0
C302T309,6.0110985389142094e-05,0.0006203038194799819,0.0023968070435762337,0.0005345881215402061,0.0004105045526884097,0.000391674605478119,0.00015025578569780184,0.00039696833464999455,0.00011763320499856485,2.728287715664928e-05,0.0001408436524015561,8.156035614064888e-05,7.334969326036978e-05,8.991670266999331e-05,0.0001014791403039748,0.00014633692027323352,0.0001131093120201986,0.00014232085799681092,0.00012365015175007341,0.0006349455143749424,0.0006618004128629166,0.0006058666472608222,0.0011346112712807277,0.006897838148964914,0.035213982527997914,0.3261807025948095,0.009314596129473891,9.766905001990959e-05,0.00018668370520905705,0.0002875454509981058,0.0014285762704109842,0.010307155905162327,0.005276487422175814,0.036893995331952874,0.0018095690070569494,0.00027340929977670597,8.488138536950889e-05,8.714170673938579e-05,0.00014150534681298094,0.0002498751538220536,9.972640309913167e-05,0.00015252827142154572,0.0003959946267985285,0.0012698833991492205,0.009511356025035507,0.0002598020693618465,0.0006762745231486563,0.0002859728920792737,0.001360486239693385,0.0
C31T33,0.006161401779668832,0.007453422332194345,0.009229963684857774,0.008232839989459383,0.011246576847489755,0.010973242662328263,0.013325265426461733,0.011995798068745437,0.003994955864073726,0.005060280474562536,0.008109898989142432,0.006845758369740338,0.0028241505214321857,0.005268197156499817,0.006079701593828193,0.005166155905367992,0.006908088123840879,0.005545585312166788,0.004580445692590321,0.00660851457176424,0.008335339345457674,0.006948878623987723,0.00859564060773498,0.006372160447011097,0.012098426179894529,0.010163697195316032,0.08679281049924241,0.011430646744817589,0.017819742324747263,0.00967584451198012,0.007539189099850125,0.012504050337422388,0.010384456046613361,0.024528848689847286,0.010937486092670127,0.006167743335174812,0.0074412853221624215,0.007300605103862747,0.010575997022131241,0.011895476705799058,0.0049813309174779824,0.00427943717170163,0.010841891082110604,0.019117290655967355,0.011954796344918679,0.021529457397000983,0.02867643615425292,0.022728838265151898,0.020094477637339504,0.0
D,0.020655134659486277,0.01181114874310416,0.018616286953203633,0.10062257477962164,0.07136070476784662,0.07898112016587358,0.09097323972689911,0.01791086728574273,0.021334915523870342,0.025469815964778514,0.02695410651655744,0.060366312406767264,0.023645600440286043,0.05000093139246757,0.018723356194478655,0.04119410772417133,0.08112101120743338,0.05459279807392497,0.04094065788845551,0.03180875270094074,0.017488416851344925,0.02012865339125327,0.01882523252077878,0.016409451855444675,0.016378243221981614,0.018905115128546746,0.022016299136290305,0.2985825874105368,0.09558549319002459,0.010003438334265981,0.038802785767062004,0.04082202493607174,0.0028289434282859653,0.0031409516196108074,0.02893981313706739,0.0196815332841383,0.05278453332463392,0.014007227858620673,0.031275010435921284,0.013922664344778917,0.012726768749253173,0.03485163300431537,0.017794021668569217,0.016590061846648147,0.041551282039113735,0.07541630498630576,0.03779134514106945,0.053563457774797776,0.04866713125164299,0.0
E,0.0034818619728171113,0.0011281409351828777,0.00271901453259975,0.006804375375917351,0.00379643279920704,0.007242328037170512,0.006270022591226437,0.003923647046678974,0.0037010981852668053,0.0020468916529815255,0.0036788215266188857,0.01766129567760039,0.0021631235014450884,0.004366231046164212,0.003085209828240084,0.003341125758927081,0.0065066300892107215,0.030049334635069962,0.025806774781200935,0.004148889439174997,0.0012405250614575035,0.0020352904900497707,0.0026675367918545514,0.0015461547746230381,0.002429531417135637,0.0036282731876256615,0.0027979107476158705,0.007577695261638345,0.2751335358696727,0.003215669386556159,0.005933430168202988,0.00485662600598321,0.0011493649591101753,0.0006658361112416093,0.004928443361896119,0.0033201107417557235,0.012968723164504543,0.0016133516490266244,0.004033063499893949,0.0012635911966658356,0.0022928679537758943,0.006417303973634864,0.003583133308475718,0.004050690951706213,0.02679308161062248,0.017761179493040784,0.013084789993683385,0.010939232108314299,0.009721781538932744,0.0
F,0.006715769152389153,0.016782014664195728,0.005149964714312029,0.00953594089883931,0.007818183144660765,0.009474243308945708,0.008509614111771965,0.01718012596251439,0.0019484700695065838,0.0015504846488363097,0.0032439599994745576,0.0031283863343396856,0.001989925972585244,0.0025592736555359436,0.002316477382923513,0.0031100627274387644,0.005763316050300562,0.003219071756418985,0.0031459615248237744,0.005738088787866856,0.00210954110810329,0.00291232866118449,0.003263558800029705,0.0024003730688658188,0.006120466857996244,0.002887931630217343,0.010533367672940655,0.01990424222700872,0.03880115795334732,0.15665889081909495,0.013151099038162245,0.010437555725754695,0.0028061731873503856,0.0024991260028118753,0.027283020714110682,0.007132813194714099,0.008661788924755904,0.005174101228818434,0.017120390960165238,0.004272127723982226,0.0066455454372469774,0.14309631577676715,0.01758711437010925,0.010762814010327535,0.05541773518761655,0.02956354122896993,0.01438336191167297,0.014464007484195886,0.011431558021487603,0.0
