pais;industria;valor_importado
NPL;154 Manufacturing services on physical inputs;0.0
NRU;154 Manufacturing services on physical inputs;0.0
NZL;154 Manufacturing services on physical inputs;1.790000081062317
OMN;154 Manufacturing services on physical inputs;0.0
PAK;154 Manufacturing services on physical inputs;0.0
PAN;154 Manufacturing services on physical inputs;0.0
PCN;154 Manufacturing services on physical inputs;0.0
PER;154 Manufacturing services on physical inputs;0.0
PHL;154 Manufacturing services on physical inputs;0.42100000381469727
PLW;154 Manufacturing services on physical inputs;0.0
PNG;154 Manufacturing services on physical inputs;0.0
POL;154 Manufacturing services on physical inputs;434.83258056640625
PRK;154 Manufacturing services on physical inputs;0.0
PRT;154 Manufacturing services on physical inputs;83.29499816894531
PRY;154 Manufacturing services on physical inputs;0.0
PSE;154 Manufacturing services on physical inputs;0.0
PYF;154 Manufacturing services on physical inputs;0.0
QAT;154 Manufacturing services on physical inputs;0.0
ROU;154 Manufacturing services on physical inputs;252.66998291015625
RUS;154 Manufacturing services on physical inputs;45.65158462524414
RWA;154 Manufacturing services on physical inputs;0.0
SAU;154 Manufacturing services on physical inputs;1.2325869798660278
SDN;154 Manufacturing services on physical inputs;0.0
SEN;154 Manufacturing services on physical inputs;0.0
SGP;154 Manufacturing services on physical inputs;3870.57958984375
SGS;154 Manufacturing services on physical inputs;0.0
SHN;154 Manufacturing services on physical inputs;0.0
SLB;154 Manufacturing services on physical inputs;0.0
SLE;154 Manufacturing services on physical inputs;0.0
SLV;154 Manufacturing services on physical inputs;0.0
SMR;154 Manufacturing services on physical inputs;0.0
SOM;154 Manufacturing services on physical inputs;0.0
SPM;154 Manufacturing services on physical inputs;0.0
SRB;154 Manufacturing services on physical inputs;14.72800064086914
SSD;154 Manufacturing services on physical inputs;0.0
STP;154 Manufacturing services on physical inputs;0.0
SUR;154 Manufacturing services on physical inputs;0.0
SVK;154 Manufacturing services on physical inputs;169.00100708007812
SVN;154 Manufacturing services on physical inputs;117.59400177001953
SWE;154 Manufacturing services on physical inputs;2320.73291015625
SWZ;154 Manufacturing services on physical inputs;0.0
SXM;154 Manufacturing services on physical inputs;0.0
SYC;154 Manufacturing services on physical inputs;0.0
SYR;154 Manufacturing services on physical inputs;0.0
TCA;154 Manufacturing services on physical inputs;0.0
TCD;154 Manufacturing services on physical inputs;0.0
TGO;154 Manufacturing services on physical inputs;0.0
THA;154 Manufacturing services on physical inputs;51.44300079345703
TJK;154 Manufacturing services on physical inputs;0.0
TKL;154 Manufacturing services on physical inputs;0.0
TKM;154 Manufacturing services on physical inputs;0.0
TLS;154 Manufacturing services on physical inputs;0.0
TON;154 Manufacturing services on physical inputs;0.0
TTO;154 Manufacturing services on physical inputs;0.0
TUN;154 Manufacturing services on physical inputs;0.0
TUR;154 Manufacturing services on physical inputs;78.76600646972656
TUV;154 Manufacturing services on physical inputs;0.0
TWN;154 Manufacturing services on physical inputs;157.1897735595703
TZA;154 Manufacturing services on physical inputs;0.0
UGA;154 Manufacturing services on physical inputs;0.0
UKR;154 Manufacturing services on physical inputs;3.697761058807373
UMI;154 Manufacturing services on physical inputs;0.0
URY;154 Manufacturing services on physical inputs;73.81800842285156
USA;154 Manufacturing services on physical inputs;7195.1103515625
UZB;154 Manufacturing services on physical inputs;0.0
VAT;154 Manufacturing services on physical inputs;0.0
VCT;154 Manufacturing services on physical inputs;0.0
VEN;154 Manufacturing services on physical inputs;0.0
VGB;154 Manufacturing services on physical inputs;0.0
VNM;154 Manufacturing services on physical inputs;4.400000095367432
VUT;154 Manufacturing services on physical inputs;0.0
WLF;154 Manufacturing services on physical inputs;0.0
WSM;154 Manufacturing services on physical inputs;0.0
YEM;154 Manufacturing services on physical inputs;0.0
ZAF;154 Manufacturing services on physical inputs;20.937999725341797
ZMB;154 Manufacturing services on physical inputs;0.0
ZWE;154 Manufacturing services on physical inputs;0.0
ABW;155 Maintenance and repair services n.i.e.;0.0
AFG;155 Maintenance and repair services n.i.e.;0.0
AGO;155 Maintenance and repair services n.i.e.;0.0
AIA;155 Maintenance and repair services n.i.e.;0.0
ALB;155 Maintenance and repair services n.i.e.;1.683000087738037
AND;155 Maintenance and repair services n.i.e.;0.0
ARE;155 Maintenance and repair services n.i.e.;8.5
ARG;155 Maintenance and repair services n.i.e.;227.27886962890625
ARM;155 Maintenance and repair services n.i.e.;0.0
ASM;155 Maintenance and repair services n.i.e.;0.0
ATA;155 Maintenance and repair services n.i.e.;0.0
ATF;155 Maintenance and repair services n.i.e.;0.0
ATG;155 Maintenance and repair services n.i.e.;0.0
AUS;155 Maintenance and repair services n.i.e.;1600.1973876953125
AUT;155 Maintenance and repair services n.i.e.;991.8912353515625
AZE;155 Maintenance and repair services n.i.e.;0.0
BDI;155 Maintenance and repair services n.i.e.;0.0
BEL;155 Maintenance and repair services n.i.e.;2284.5625
BEN;155 Maintenance and repair services n.i.e.;0.0
BES;155 Maintenance and repair services n.i.e.;0.0
BFA;155 Maintenance and repair services n.i.e.;0.0
BGD;155 Maintenance and repair services n.i.e.;0.0
BGR;155 Maintenance and repair services n.i.e.;94.98599243164062
BHR;155 Maintenance and repair services n.i.e.;0.0
BHS;155 Maintenance and repair services n.i.e.;0.0
BIH;155 Maintenance and repair services n.i.e.;0.0
BLM;155 Maintenance and repair services n.i.e.;0.0
BLR;155 Maintenance and repair services n.i.e.;0.0
BLZ;155 Maintenance and repair services n.i.e.;0.0
BMU;155 Maintenance and repair services n.i.e.;0.0
BOL;155 Maintenance and repair services n.i.e.;0.0
BRA;155 Maintenance and repair services n.i.e.;910.9693603515625
BRB;155 Maintenance and repair services n.i.e.;0.0
BRN;155 Maintenance and repair services n.i.e.;7.0
BTN;155 Maintenance and repair services n.i.e.;0.0
BVT;155 Maintenance and repair services n.i.e.;0.0
BWA;155 Maintenance and repair services n.i.e.;0.0
CAF;155 Maintenance and repair services n.i.e.;0.0
CAN;155 Maintenance and repair services n.i.e.;1575.6036376953125
CCK;155 Maintenance and repair services n.i.e.;0.0
CHE;155 Maintenance and repair services n.i.e.;1201.6788330078125
CHL;155 Maintenance and repair services n.i.e.;127.21499633789062
CHN;155 Maintenance and repair services n.i.e.;2223.518798828125
CIV;155 Maintenance and repair services n.i.e.;0.0
CMR;155 Maintenance and repair services n.i.e.;0.0
COD;155 Maintenance and repair services n.i.e.;0.0
COG;155 Maintenance and repair services n.i.e.;0.0
COK;155 Maintenance and repair services n.i.e.;0.0
COL;155 Maintenance and repair services n.i.e.;113.0
COM;155 Maintenance and repair services n.i.e.;0.0
CPV;155 Maintenance and repair services n.i.e.;0.0
CRI;155 Maintenance and repair services n.i.e.;8.0
CUB;155 Maintenance and repair services n.i.e.;0.0
