industry,dependent_country,supplier_country,dependency_value,direct_dependency,indirect_dependency,trade_value,optimal_length,tariff,tariff_group,region
Accumulators primary cells and batteries,USA,GBR,0.0099899166537769,0.0080482000485062,0.0019417166052707,111.64344787597656,2,10,0-10%,OTHER
Accumulators primary cells and batteries,USA,TUR,4.615189731090128e-05,0.0,4.615189731090128e-05,0.0,2,10,0-10%,OTHER
Accumulators primary cells and batteries,USA,AUS,0.0,0.0,0.0,0.0,2,10,0-10%,OTHER
Accumulators primary cells and batteries,USA,BRA,0.0,0.0,0.0,0.0,2,10,0-10%,LATAM
Accumulators primary cells and batteries,USA,CHL,0.0,0.0,0.0,0.0,2,10,0-10%,LATAM
Accumulators primary cells and batteries,USA,COL,0.0,0.0,0.0,0.0,2,10,0-10%,LATAM
Aircraft and spacecraft,USA,LSO,0.0,0.0,0.0,0.0,2,50,>40%,OTHER
Aircraft and spacecraft,USA,KHM,0.0,0.0,0.0,0.0,2,49,>40%,ASIA
Aircraft and spacecraft,USA,LAO,0.0,0.0,0.0,0.0,2,48,>40%,ASIA
Aircraft and spacecraft,USA,MDG,0.0,0.0,0.0,0.0,2,47,>40%,OTHER
Aircraft and spacecraft,USA,VNM,0.0,0.0,0.0,0.0,2,46,>40%,ASIA
Aircraft and spacecraft,USA,MMR,0.0,0.0,0.0,0.0,2,45,>40%,ASIA
Aircraft and spacecraft,USA,LKA,0.0,0.0,0.0,0.0,2,44,>40%,ASIA
Aircraft and spacecraft,USA,FLK,0.0,0.0,0.0,0.0,2,42,>40%,OTHER
Aircraft and spacecraft,USA,SYR,0.0,0.0,0.0,0.0,2,41,>40%,OTHER
Aircraft and spacecraft,USA,MUS,0.0,0.0,0.0,0.0,2,40,31-40%,OTHER
Aircraft and spacecraft,USA,IRQ,0.0,0.0,0.0,0.0,2,39,31-40%,OTHER
Aircraft and spacecraft,USA,BWA,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Aircraft and spacecraft,USA,GUY,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Aircraft and spacecraft,USA,SRB,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Aircraft and spacecraft,USA,BGD,0.0,0.0,0.0,0.0,2,37,31-40%,ASIA
Aircraft and spacecraft,USA,THA,0.0,0.0,0.0,0.0,2,37,31-40%,ASIA
Aircraft and spacecraft,USA,BIH,0.0,0.0,0.0,0.0,2,36,31-40%,OTHER
Aircraft and spacecraft,USA,CHN,0.0148612837263738,0.008330475538969,0.0065308081874047,1016.2221069335938,2,34,31-40%,ASIA
Aircraft and spacecraft,USA,MKD,0.0,0.0,0.0,0.0,2,33,31-40%,OTHER
Aircraft and spacecraft,USA,TWN,0.0005321720610525,0.0,0.0005321720610525,0.0,2,32,31-40%,ASIA
Aircraft and spacecraft,USA,CHE,0.0004525071586873,0.0,0.0004525071586873,0.0,2,32,31-40%,OTHER
Aircraft and spacecraft,USA,AGO,0.0,0.0,0.0,0.0,2,32,31-40%,OTHER
Aircraft and spacecraft,USA,FJI,0.0,0.0,0.0,0.0,2,32,31-40%,OTHER
Aircraft and spacecraft,USA,IDN,0.0,0.0,0.0,0.0,2,32,31-40%,ASIA
Aircraft and spacecraft,USA,LBY,0.0,0.0,0.0,0.0,2,31,31-40%,OTHER
Aircraft and spacecraft,USA,MDA,0.0,0.0,0.0,0.0,2,31,31-40%,OTHER
Aircraft and spacecraft,USA,ZAF,0.0,0.0,0.0,0.0,2,31,31-40%,OTHER
Aircraft and spacecraft,USA,DZA,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Aircraft and spacecraft,USA,NRU,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Aircraft and spacecraft,USA,PAK,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Aircraft and spacecraft,USA,TUN,0.0,0.0,0.0,0.0,2,28,21-30%,OTHER
Aircraft and spacecraft,USA,IND,0.0011169490583162,0.0,0.0011169490583162,0.0,2,27,21-30%,OTHER
Aircraft and spacecraft,USA,KAZ,0.0,0.0,0.0,0.0,2,27,21-30%,OTHER
Aircraft and spacecraft,USA,KOR,0.0116545877285686,0.0098718758672475,0.0017827118613211,1204.255126953125,2,26,21-30%,ASIA
Aircraft and spacecraft,USA,JPN,0.0519209521640121,0.0480699613690376,0.0038509907949744,5863.98193359375,2,24,21-30%,ASIA
Aircraft and spacecraft,USA,MYS,0.0010012032634216,0.0,0.0010012032634216,0.0,2,24,21-30%,ASIA
Aircraft and spacecraft,USA,BRN,0.0,0.0,0.0,0.0,2,24,21-30%,ASIA
Aircraft and spacecraft,USA,VUT,0.0,0.0,0.0,0.0,2,23,21-30%,OTHER
Aircraft and spacecraft,USA,CIV,0.0,0.0,0.0,0.0,2,21,21-30%,OTHER
Aircraft and spacecraft,USA,NAM,0.0,0.0,0.0,0.0,2,21,21-30%,OTHER
Aircraft and spacecraft,USA,FRA,0.1883891346223081,0.1309906095266342,0.0573985250956739,15979.3466796875,3,20,11-20%,EU
Aircraft and spacecraft,USA,DEU,0.0845137930164251,0.0439183786511421,0.040595414365283,5357.53662109375,3,20,11-20%,EU
Aircraft and spacecraft,USA,ITA,0.0242886607911015,0.0183305032551288,0.0059581575359726,2236.1103515625,2,20,11-20%,EU
